Inkname                  ,C,M,Y,K,R,G,B,InGamut,DeltaE,Lin,ain,bin,Lout,aout,bout
7480,94,5,93,1,0,0,0,1,0.306,58.36,-59.71,26.44,58.04,-59.58,26.25
7481,94,3,100,4,0,0,0,1,0.34,57.31,-61.73,34.65,56.94,-61.57,34.61
7482,96,11,94,0,0,0,0,0,0.982,57.01,-63.67,24.73,56.18,-61.62,24.94
7483,98,78,95,0,0,0,0,1,0.399,37.79,-26.4,9.72,37.86,-27.2,10.07
7484,100,70,88,24,0,0,0,1,0.305,35.45,-31.3,2.09,35.79,-31.03,2.14
7485,29,0,36,0,0,0,0,1,0.233,91.23,-10.57,12.96,91.3,-10.76,12.77
7486,40,1,64,0,0,0,0,1,0.116,86.03,-17.25,30.45,86.02,-17.26,30.21
7487,65,4,86,0,0,0,0,1,0.069,76.21,-29.66,41.28,76.27,-29.75,41.22
7488,78,6,93,0,0,0,0,1,0.196,69.2,-39.26,43.22,68.95,-39.29,43.11
7489,76,18,88,0,0,0,0,1,0.181,68.14,-32.79,35.05,68.33,-32.64,34.79
7490,76,37,90,0,0,0,0,1,0.27,63.51,-24.97,34.34,63.4,-24.42,34.16
7491,76,55,95,0,0,0,0,1,0.317,57.62,-15.47,35.14,57.58,-14.96,35.14
7492,37,8,73,0,0,0,0,1,0.183,84.41,-13.71,37.74,84.18,-13.66,37.96
7493,41,18,61,0,0,0,0,1,0.352,82.57,-10.93,23.79,82.85,-11.26,24.34
7494,60,27,63,0,0,0,0,1,0.302,73.14,-14.16,15.64,72.98,-13.85,15.81
7495,70,44,96,1,0,0,0,1,0.269,63.68,-16.38,43.47,63.9,-16.54,44.06
7496,52,3,100,65,0,0,0,0,0.92,55.33,-18.86,45.51,56.28,-18.56,44.85
7497,80,75,83,0,0,0,0,1,0.705,49.45,-0.75,11.76,49.45,-1.29,11.75
7498,89,81,98,0,0,0,0,1,0.258,41.16,-8.05,18.26,41.18,-8.09,18.72
7499,0,4,49,0,0,0,0,1,0.209,96.53,-1.72,29.92,96.26,-1.82,29.69
7500,9,16,52,0,0,0,0,1,0.296,90.67,0.66,26.74,90.97,0.43,26.96
7501,15,24,55,0,0,0,0,1,0.312,87.53,2.45,27.17,87.49,2.36,26.49
7502,25,37,63,0,0,0,0,1,0.446,80.48,5.2,28.47,80.75,4.88,29.03
7503,54,49,74,0,0,0,0,1,0.478,68.93,-0.23,25.45,68.83,-0.5,24.61
7504,66,71,76,0,0,0,0,1,0.319,56.9,9.07,15.51,57.12,9.21,15.91
7505,76,82,94,0,0,0,0,1,0.697,46.54,9.43,22.71,46.69,9.11,23.67
7506,0,15,41,0,0,0,0,1,0.349,94.03,3.54,23.9,93.55,3.75,24.01
7507,0,27,60,0,0,0,0,0,0.543,89.27,8.93,36.2,88.56,9.27,35.96
7508,8,43,67,0,0,0,0,1,0.386,82.6,14.15,36.78,82.23,13.78,36.09
7509,20,54,77,0,0,0,0,1,0.307,75.93,15.82,39.8,76.03,15.35,39.68
7510,32,68,89,0,0,0,0,1,0.274,66.89,21.86,44.86,67.03,21.65,45.23
7511,43,73,99,0,0,0,0,1,0.277,61.16,21.15,49.96,61.03,21.06,50.54
7512,4,71,100,52,0,0,0,1,0.444,53.12,26.07,46.77,53.57,26.04,46.58
7513,7,41,40,0,0,0,0,1,0.378,83.46,15.39,15.69,83.46,15.26,16.16
7514,19,56,60,0,0,0,0,1,0.287,75.51,19.4,24.4,75.17,19.13,24.23
7515,36,68,74,0,0,0,0,1,0.279,66.23,21.92,26.77,66.27,21.57,26.92
7516,68,87,99,0,0,0,0,1,0.242,46.75,23.72,30.52,47,23.74,30.59
7517,31,84,100,68,0,0,0,1,0.229,39.17,25.05,29.2,39.18,25.37,29.11
7518,85,87,85,0,0,0,0,1,0.342,40.68,8.45,6.43,40.69,8.09,6.32
7519,88,87,92,0,0,0,0,1,1.226,38.78,2.29,10.74,38.74,1.43,11.19
7520,2,40,34,0,0,0,0,1,0.373,85.82,16.46,14.77,85.43,16.87,15.04
7521,35,55,59,0,0,0,0,1,0.39,72.02,13.28,18.63,72.04,12.91,18.84
7522,47,83,78,0,0,0,0,1,0.102,56.73,31.75,21.09,56.8,31.91,21.08
7523,52,86,76,1,0,0,0,1,0.337,53.39,33.36,16.72,53.68,33.33,16.43
7524,55,89,83,0,0,0,0,1,0.249,51,33.7,21.03,51.18,33.76,21.33
7525,63,79,80,1,0,0,0,1,0.751,54.25,18.39,18.12,54.67,18.22,18.99
7526,0,85,100,72,0,0,0,0,0.94,39.55,32.04,34.3,40.45,32.27,33.5
7527,20,17,28,0,0,0,0,1,0.192,89.25,-0.31,8.13,89.32,-0.42,8.3
7528,35,30,40,0,0,0,0,1,0.336,80.76,0.97,8.65,81.12,0.86,8.87
7529,48,44,52,0,0,0,0,1,0.289,73.01,1.86,9.93,72.75,2.02,9.98
7530,61,56,61,0,0,0,0,1,0.273,64.5,1.26,9.38,64.46,1.26,9.76
7531,81,81,83,0,0,0,0,1,0.131,46.18,4.91,9.54,46.24,4.84,9.62
7532,89,87,94,0,0,0,0,1,0.434,38.14,0.76,11.53,38.16,0.56,12.04
7533,91,92,100,51,0,0,0,1,0.531,26.84,2.28,7.99,27.09,2.57,7.66
7534,26,21,30,0,0,0,0,1,0.469,86.87,-0.32,7.33,87.08,-0.64,7.35
7535,47,38,54,0,0,0,0,1,0.465,75.77,-1.38,12.55,75.9,-1.05,12.25
7536,58,48,61,0,0,0,0,1,0.415,68.5,-1.78,12.47,68.42,-1.77,13.11
7537,57,37,47,0,0,0,0,1,0.7,72.81,-4.91,2.51,72.95,-5.04,1.75
7538,69,49,57,0,0,0,0,1,0.168,65.24,-6.8,3.57,65.32,-6.94,3.63
7539,70,54,57,0,0,0,0,1,0.12,62.72,-4.77,1.96,62.65,-4.82,1.86
7540,94,86,78,1,0,0,0,1,0.25,36.8,-3.64,-6.84,36.91,-3.78,-6.65
7541,16,2,2,0,0,0,0,1,0.223,94.91,-2.74,-4.48,94.75,-2.6,-4.59
7542,57,25,24,0,0,0,0,1,0.452,77.05,-8.54,-8.69,76.97,-8.09,-8.73
7543,63,42,34,0,0,0,0,1,0.338,69.34,-4.03,-7.2,69.65,-4.17,-7.46
7544,79,58,45,5,0,0,0,1,0.353,56.77,-6.83,-12.66,57.14,-6.83,-12.82
7545,93,81,65,0,0,0,0,1,0.172,40.15,-5.62,-14.14,40.18,-5.8,-14.26
7546,100,85,70,49,0,0,0,1,0.365,26.07,-5.72,-14.23,26.48,-5.53,-14.34
7547,100,8,0,100,0,0,0,0,2.687,12.47,-4.54,-9.55,12.45,-5.73,-6.63
7548,0,22,100,0,0,0,0,0,1.32,88.72,5.11,88.28,89.34,2.92,85.93
7549,0,42,100,0,0,0,0,0,1.037,82.5,15.7,82.34,83.2,14.07,79.39
7550,0,59,100,12,0,0,0,0,1.202,72.05,23.93,71.2,73.54,23.99,69.75
7551,0,54,100,40,0,0,0,0,1.795,62.89,17.08,60.56,64.87,17.58,58.99
7552,20,59,100,81,0,0,0,1,0.254,39.64,9.04,32.33,39.91,8.98,32.1
7553,63,76,100,73,0,0,0,1,0.518,34.01,7.27,20.69,34.18,7.78,20.68
7554,83,87,100,59,0,0,0,1,0.361,29.76,3.93,12.59,30.03,4.07,12.3
7555,10,54,100,10,0,0,0,0,0.634,72.93,16.9,69.33,73.72,17.01,68.6
7556,23,53,100,30,0,0,0,1,0.279,64.97,11.12,57.79,65.28,11.19,57.5
7557,33,53,100,46,0,0,0,1,0.457,56.38,7.37,46.24,56.86,7.5,46.12
7558,32,62,100,51,0,0,0,1,0.274,52.34,11.84,41.87,52.59,11.77,41.52
7559,58,79,100,27,0,0,0,1,0.304,48.23,16.9,36.23,48.48,17.08,36.08
7560,74,82,100,7,0,0,0,1,0.76,45.74,9.8,29.66,46.21,9.05,29.77
7561,83,85,98,0,0,0,0,1,0.343,41.9,3.66,20.91,41.79,3.95,20.76
7562,41,54,79,1,0,0,0,1,0.434,70.74,7.4,34.29,71.05,7.47,35.2
7563,20,58,94,0,0,0,0,1,0.206,73.88,18.32,60.76,73.65,18.16,60.83
7564,0,66,100,9,0,0,0,0,1.209,70.42,29.15,68.89,71.98,28.82,68.12
7565,19,74,100,0,0,0,0,1,0.123,65.57,32.23,58.56,65.71,32.12,58.49
7566,50,84,95,0,0,0,0,1,0.265,54.03,31,37.58,53.98,31.28,37.31
7567,72,87,97,0,0,0,0,1,0.276,45.51,19.92,26.6,45.78,20.05,26.55
7568,79,87,95,0,0,0,0,1,0.336,42.74,13.59,19.93,42.93,13.35,20.15
7569,14,70,96,1,0,0,0,1,0.083,69.38,29.96,59.02,69.41,29.96,59.23
7570,18,72,94,0,0,0,0,1,0.278,67.62,31.3,53.86,67.71,30.84,53.9
7571,32,73,94,0,0,0,0,1,0.525,64.05,26.01,48.26,63.89,26.75,48.01
7572,45,78,95,0,0,0,0,1,0.339,58.53,25.86,42.14,58.18,25.63,41.92
7573,54,83,98,0,0,0,0,1,0.188,53.45,25.8,39.31,53.48,25.99,39.13
7574,62,80,93,0,0,0,0,1,0.441,53.24,18.04,31.62,53.21,17.59,32
7575,74,83,96,0,0,0,0,1,0.402,46.68,12.9,26.7,46.97,12.53,26.69
7576,10,76,85,0,0,0,0,1,0.356,68.21,38.55,44.21,68.39,38.26,44.66
7577,4,78,92,0,0,0,0,1,0.125,67.43,43.3,53.32,67.46,42.95,53.1
7578,6,87,97,0,0,0,0,1,0.287,62.44,51.87,53.98,62.4,51.62,53.16
7579,5,90,98,0,0,0,0,1,0.121,60.73,56,54.71,60.7,55.63,54.56
7580,31,93,95,0,0,0,0,1,0.137,53.48,50.76,41.86,53.62,50.77,41.84
7581,72,92,96,0,0,0,0,1,0.303,42.7,27.4,24.37,42.73,28.05,24.77
7582,81,89,96,16,0,0,0,1,0.876,37.36,12.06,18.1,37.58,12.86,17.66
7583,34,87,99,0,0,0,0,1,0.18,56.79,41.99,46.3,56.69,42.16,46.11
7584,30,87,100,13,0,0,0,1,0.256,54.15,40,45.34,54.37,40.22,45.26
7585,49,89,96,0,0,0,0,1,0.155,51.9,37.87,36.37,51.84,37.91,36.67
7586,63,89,98,0,0,0,0,1,0.087,47.76,30.08,33.09,47.77,29.94,32.88
7587,69,91,98,0,0,0,0,1,0.149,44.57,28.07,27.98,44.42,28.13,28.12
7588,78,88,96,0,0,0,0,1,0.098,42.9,16.41,22.35,42.89,16.44,22.22
7589,87,90,98,0,0,0,0,1,0.324,37.05,7.03,14.44,37.09,6.86,14.74
7590,20,43,48,0,0,0,0,1,0.387,80.45,12.36,17.27,80.29,12.26,16.65
7591,36,77,80,0,0,0,0,1,0.506,62.29,30.21,30.5,62.78,29.74,30.58
7592,47,90,96,0,0,0,0,1,0.098,51.31,41.54,36.83,51.25,41.53,36.96
7593,59,95,100,5,0,0,0,1,0.416,43.53,39.7,32.12,43.94,39.94,32.02
7594,77,99,99,4,0,0,0,1,0.257,35.37,33.15,17.4,35.64,33.09,17.19
7595,82,94,98,0,0,0,0,1,0.357,36.87,21.06,16.75,37,20.99,17.23
7596,89,94,98,0,0,0,0,1,0.372,33.39,11.34,10.37,33.35,11.42,10.9
7597,12,98,98,0,0,0,0,0,0.312,54.07,64.39,49.08,54.28,64.86,48.89
7598,39,92,98,0,0,0,0,1,0.247,52.02,47.67,42.12,52.27,47.56,42.09
7599,31,97,100,16,0,0,0,1,0.374,46.46,52.9,40.41,46.8,53.05,40.13
7600,71,93,100,0,0,0,0,1,0.312,41.96,29.81,27.28,42.27,29.87,27.53
7601,77,93,99,0,0,0,0,1,0.643,40.25,24.04,22.71,40.37,23.77,23.58
7602,76,89,96,0,0,0,0,1,0.156,43.09,18.12,22.28,43.16,18.37,22.43
7603,83,91,98,4,0,0,0,1,0.614,37.78,14.44,18.86,37.91,14.93,18.37
7604,3,18,9,1,0,0,0,1,0.335,93.39,6,1.55,93.48,5.72,1.67
7605,7,41,30,0,0,0,0,1,0.242,84.35,16.39,10.62,84.08,16.64,10.71
7606,16,66,49,0,0,0,0,1,0.313,72.32,30.04,15.03,72.48,30.38,14.75
7607,32,82,70,0,0,0,0,1,0.305,60.45,38.11,20.53,60.73,38.52,20.49
7608,52,94,86,0,0,0,0,1,0.33,47.87,42,23.33,47.78,41.4,23.51
7609,72,94,90,7,0,0,0,1,0.408,40.15,31.07,16.75,40.23,31.14,17.41
7610,83,100,92,4,0,0,0,1,0.3,31.95,29.51,10.14,32.31,29.67,10.09
7611,12,35,33,0,0,0,0,1,0.138,85,11.44,12,85.03,11.46,12.19
7612,31,58,54,0,0,0,0,1,0.357,72.5,17.89,15.06,72.87,17.71,15.25
7613,41,64,56,0,0,0,0,1,0.317,67.77,18.19,12.45,67.43,18.23,12.69
7614,58,69,62,0,0,0,0,1,0.106,60.34,14.01,8.71,60.36,13.88,8.62
7615,70,78,69,0,0,0,0,1,0.428,52.5,15.3,4.36,52.65,15.62,4.87
7616,81,88,79,0,0,0,0,1,0.612,42.62,15.36,3.45,42.86,15.7,4.22
7617,89,93,90,0,0,0,0,1,0.299,33.91,10.48,4.38,33.91,10.68,4.73
7618,28,84,80,0,0,0,0,1,0.29,60.38,40.61,31.35,60.63,40.17,31.33
7619,36,93,91,0,0,0,0,1,0.341,52.3,48.83,35.91,52.4,48.3,36.18
7620,17,100,94,27,0,0,0,1,0.314,45.59,58.81,37.14,45.91,58.62,37.06
7621,2,100,88,46,0,0,0,0,1.682,41.56,57.65,32.28,43.36,56.35,31.5
